"","Month","Sales (USD)","Sales (ETH)","Unique Buyers","Total Transactions","Avg Sale (USD)","Avg Sale (ETH)"
"","March, 2018","$16,274.08","37.4801","23","72","$226.03","0.5206"
"","April, 2018","$37,826.65","79.2938","54","160","$236.42","0.4956"
"","May, 2018","$48,585.79","70.1157","65","253","$192.04","0.2771"
"","June, 2018","$26,872.00","50.3357","52","184","$146.04","0.2736"
"","July, 2018","$17,708.04","38.4360","60","156","$113.51","0.2464"
"","August, 2018","$43,970.56","144.3204","76","364","$120.80","0.3965"
"","September, 2018","$56,978.75","263.2616","73","548","$103.98","0.4804"
"","October, 2018","$65,921.47","317.7555","132","613","$107.54","0.5184"
"","November, 2018","$46,352.26","300.7261","185","1,112","$41.68","0.2704"
"","December, 2018","$24,653.02","224.4242","174","1,730","$14.25","0.1297"
"","January, 2019","$32,231.35","260.9650","340","2,771","$11.63","0.0942"
"","February, 2019","$25,729.76","205.8747","259","1,801","$14.29","0.1143"
"","March, 2019","$128,630.84","962.2252","312","2,352","$54.69","0.4091"
"","April, 2019","$39,342.58","241.3172","319","2,035","$19.33","0.1186"
"","May, 2019","$51,879.11","255.7656","357","2,035","$25.49","0.1257"
"","June, 2019","$38,285.09","142.9102","290","1,643","$23.30","0.0870"
"","July, 2019","$23,286.12","89.7213","202","1,439","$16.18","0.0623"
"","August, 2019","$10,725.92","53.3895","186","1,451","$7.39","0.0368"
"","September, 2019","$5,410.22","29.3698","118","823","$6.57","0.0357"
"","October, 2019","$10,296.51","57.6903","174","1,849","$5.57","0.0312"
"","November, 2019","$26,448.28","148.6318","200","1,625","$16.28","0.0915"
"","December, 2019","$40,676.58","292.3316","323","3,790","$10.73","0.0771"
"","January, 2020","$42,809.43","265.6963","471","3,540","$12.09","0.0751"
"","February, 2020","$28,232.41","118.6145","382","2,257","$12.51","0.0526"
"","March, 2020","$23,866.87","151.8516","483","2,808","$8.50","0.0541"
"","April, 2020","$28,701.87","175.5544","415","2,950","$9.73","0.0595"
"","May, 2020","$17,802.69","86.0143","425","1,896","$9.39","0.0454"
"","June, 2020","$11,347.78","48.0580","267","1,032","$11.00","0.0466"
"","July, 2020","$82,373.24","327.1995","871","3,458","$23.82","0.0946"
"","August, 2020","$176,762.97","445.1786","1,129","3,470","$50.94","0.1283"
"","September, 2020","$971,680.87","2,743.3019","2,468","8,301","$117.06","0.3305"
"","October, 2020","$1,620,213.33","4,248.9025","3,934","16,213","$99.93","0.2621"
"","November, 2020","$2,138,575.90","4,520.7282","6,917","30,159","$70.91","0.1499"
"","December, 2020","$1,400,465.89","2,304.4516","6,011","23,304","$60.10","0.0989"
"","January, 2021","$930,549.61","806.4552","1,848","5,710","$162.97","0.1412"
"","February, 2021","$1,661,326.53","967.6123","2,038","6,038","$275.15","0.1603"
"","March, 2021","$5,600,457.69","3,228.0068","5,961","18,744","$298.79","0.1722"
"","April, 2021","$4,774,363.83","2,084.3564","5,215","15,950","$299.33","0.1307"
"","May, 2021","$27,712,127.44","9,787.0518","17,416","113,093","$245.04","0.0865"
"","June, 2021","$122,233,238.83","54,256.5929","61,655","435,468","$280.69","0.1246"
"","July, 2021","$666,907,166.13","315,490.2079","215,089","1,349,592","$494.15","0.2338"
"","August, 2021","$808,429,394.15","266,155.2811","291,896","1,741,331","$464.26","0.1528"
"","Total","$1,645,609,542.47","672,477.4574","","3,814,120","$431.45","0.1763"
